player_name,saison,competition_type,competition,club,games_played,goals,assists,owngoals,substitute_in,substitute_out,yellow_cards,yellow_red_cards,red_cards,penalties,minutes_played
Lionel Messi,13/14,Nationale Pokalwettbewerbe,Copa del Rey,FC Barcelona,6,5,3,0,1,0,1,0,0,0,476'
Lionel Messi,13/14,Nationale Pokalwettbewerbe,Supercopa,FC Barcelona,2,0,0,0,0,1,0,0,0,0,135'
Lionel Messi,12/13,Nationale Pokalwettbewerbe,Copa del Rey,FC Barcelona,5,4,1,0,0,1,1,0,0,0,443'
Lionel Messi,12/13,Nationale Pokalwettbewerbe,Supercopa,FC Barcelona,2,2,0,0,0,0,0,0,0,1,180'
Lionel Messi,11/12,Nationale Pokalwettbewerbe,Copa del Rey,FC Barcelona,7,3,4,0,2,0,1,0,0,0,512'
Lionel Messi,11/12,Nationale Pokalwettbewerbe,Supercopa,FC Barcelona,2,3,2,0,0,0,0,0,0,0,180'
Lionel Messi,10/11,Nationale Pokalwettbewerbe,Copa del Rey,FC Barcelona,7,7,2,0,2,1,1,0,0,0,542'
Lionel Messi,10/11,Nationale Pokalwettbewerbe,Supercopa,FC Barcelona,2,3,0,0,1,0,0,0,0,0,128'
Lionel Messi,09/10,Nationale Pokalwettbewerbe,Copa del Rey,FC Barcelona,3,1,0,0,1,0,1,0,0,0,209'
Lionel Messi,09/10,Nationale Pokalwettbewerbe,Supercopa,FC Barcelona,1,2,0,0,0,0,0,0,0,1,90'
Lionel Messi,08/09,Nationale Pokalwettbewerbe,Copa del Rey,FC Barcelona,8,6,1,0,4,2,1,0,0,1,450'
Lionel Messi,07/08,Nationale Pokalwettbewerbe,Copa del Rey,FC Barcelona,3,0,0,0,1,0,0,0,0,0,225'
Lionel Messi,06/07,Nationale Pokalwettbewerbe,Copa del Rey,FC Barcelona,2,2,1,0,0,1,1,0,0,0,166'
Lionel Messi,06/07,Nationale Pokalwettbewerbe,Supercopa,FC Barcelona,2,0,0,0,1,0,0,0,0,0,121'
Lionel Messi,05/06,Nationale Pokalwettbewerbe,Copa del Rey,FC Barcelona,2,1,1,0,0,0,0,0,0,0,180'
Lionel Messi,04/05,Nationale Pokalwettbewerbe,Copa del Rey,FC Barcelona,1,0,0,0,0,1,0,0,0,0,73'
Lionel Messi,23/24,Internationale Pokalwettbewerbe,CONCACAF Champions Cup,Inter Miami CF,3,2,2,0,0,1,0,0,0,0,230'
Lionel Messi,2023,Internationale Pokalwettbewerbe,Leagues Cup,Inter Miami CF,7,10,1,0,1,1,1,0,0,0,594'
Lionel Messi,22/23,Internationale Pokalwettbewerbe,UEFA Champions League,FC Paris Saint-Germain,7,4,4,0,0,2,0,0,0,0,615'
Lionel Messi,21/22,Internationale Pokalwettbewerbe,UEFA Champions League,FC Paris Saint-Germain,7,5,0,0,0,0,1,0,0,2,630'
Lionel Messi,20/21,Internationale Pokalwettbewerbe,UEFA Champions League,FC Barcelona,6,5,2,0,0,0,0,0,0,4,540'
Lionel Messi,19/20,Internationale Pokalwettbewerbe,UEFA Champions League,FC Barcelona,8,3,4,0,1,0,2,0,0,0,661'
Lionel Messi,18/19,Internationale Pokalwettbewerbe,UEFA Champions League,FC Barcelona,10,12,3,0,1,0,0,0,0,1,837'
Lionel Messi,17/18,Internationale Pokalwettbewerbe,UEFA Champions League,FC Barcelona,10,6,2,0,2,0,2,0,0,0,783'
Lionel Messi,16/17,Internationale Pokalwettbewerbe,UEFA Champions League,FC Barcelona,9,11,2,0,0,0,0,0,0,2,810'
Lionel Messi,15/16,Internationale Pokalwettbewerbe,UEFA Champions League,FC Barcelona,7,6,1,0,0,0,1,0,0,1,630'
Lionel Messi,15/16,Internationale Pokalwettbewerbe,FIFA Klub-WM,FC Barcelona,1,1,0,0,0,0,0,0,0,0,90'
Lionel Messi,15/16,Internationale Pokalwettbewerbe,UEFA Super Cup,FC Barcelona,1,2,1,0,0,0,0,0,0,0,120'
Lionel Messi,14/15,Internationale Pokalwettbewerbe,UEFA Champions League,FC Barcelona,13,10,6,0,0,1,1,0,0,0,1.146'
Lionel Messi,13/14,Internationale Pokalwettbewerbe,UEFA Champions League,FC Barcelona,7,8,0,0,0,0,0,0,0,2,630'
Lionel Messi,12/13,Internationale Pokalwettbewerbe,UEFA Champions League,FC Barcelona,11,8,3,0,2,2,0,0,0,0,821'
Lionel Messi,11/12,Internationale Pokalwettbewerbe,UEFA Champions League,FC Barcelona,11,14,5,0,0,0,2,0,0,4,990'
Lionel Messi,11/12,Internationale Pokalwettbewerbe,FIFA Klub-WM,FC Barcelona,2,2,1,0,0,0,0,0,0,0,180'
