game_id,player_current_club,tournament,gameday,venue_country,venue_city,venue,date,team,opponent,result,player_position,goal_amount,assists_amount,own_goals_amount,yellow_card,yellow_red_card,red_card
2438029,Real Madrid,Freundschaftsspiele,,Portugal,Leiria,H,2014-03-05,Portugal,Kamerun,5:1,MS,2,1,0,,,
2445367,Real Madrid,Freundschaftsspiele,,Vereinigte Staaten,"East Rutherford, New Jersey",H,2014-06-11,Portugal,Irland,5:1,LA,0,1,0,,,
2384340,Real Madrid,Weltmeisterschaft 2014,Gruppe G,Brasilien,Salvador,A,2014-06-16,Portugal,Deutschland,0:4,LA,0,0,0,,,
2384357,Real Madrid,Weltmeisterschaft 2014,Gruppe G,Brasilien,,A,2014-06-23,Portugal,Vereinigte Staaten,2:2,LA,0,1,0,,,
2384325,Real Madrid,Weltmeisterschaft 2014,Gruppe G,Brasilien,Brasília,H,2014-06-26,Portugal,Ghana,2:1,LA,1,0,0,,,
2494667,Real Madrid,Freundschaftsspiele,,Frankreich,Saint Denis,A,2014-10-11,Portugal,Frankreich,1:2,MS,0,0,0,,,
2429399,Real Madrid,EM-Qualifikation,Gruppe I,Dänemark,København Ø.,A,2014-10-14,Portugal,Dänemark,1:0,MS,1,0,0,90',,
2429408,Real Madrid,EM-Qualifikation,Gruppe I,Portugal,Faro,H,2014-11-14,Portugal,Armenien,1:0,MS,1,0,0,,,
2511692,Real Madrid,Freundschaftsspiele,,England,Manchester,A,2014-11-18,Portugal,Argentinien,1:0,MS,0,0,0,,,
2429454,Real Madrid,EM-Qualifikation,Gruppe I,Portugal,Lissabon,H,2015-03-29,Portugal,Serbien,2:1,MS,0,0,0,,,
2429471,Real Madrid,EM-Qualifikation,Gruppe I,Armenien,Yerevan,A,2015-06-13,Portugal,Armenien,3:2,MS,3,0,0,,,
2620405,Real Madrid,Freundschaftsspiele,,Portugal,Lissabon,H,2015-09-04,Portugal,Frankreich,0:1,LA,0,0,0,,,
2429526,Real Madrid,EM-Qualifikation,Gruppe I,Albanien,Elbasan,A,2015-09-07,Portugal,Albanien,1:0,MS,0,0,0,,,
2429544,Real Madrid,EM-Qualifikation,Gruppe I,Portugal,Braga,H,2015-10-08,Portugal,Dänemark,1:0,MS,0,0,0,,,
2676764,Real Madrid,Freundschaftsspiele,,Portugal,Leiria,H,2016-03-25,Portugal,Bulgarien,0:1,MS,0,0,0,,,
2676658,Real Madrid,Freundschaftsspiele,,Portugal,Leiria,H,2016-03-29,Portugal,Belgien,2:1,MS,1,0,0,,,
2697047,Real Madrid,Freundschaftsspiele,,Portugal,Lissabon,H,2016-06-08,Portugal,Estland,7:0,MS,2,0,0,,,
2645645,Real Madrid,Europameisterschaft 2016,Gruppe F,Frankreich,Saint-Etienne,H,2016-06-14,Portugal,Island,1:1,MS,0,0,0,,,
2645657,Real Madrid,Europameisterschaft 2016,Gruppe F,Frankreich,Paris,H,2016-06-18,Portugal,Österreich,0:0,MS,0,0,0,,,
2645668,Real Madrid,Europameisterschaft 2016,Gruppe F,Frankreich,,A,2016-06-22,Portugal,Ungarn,3:3,MS,2,1,0,,,
2701330,Real Madrid,Europameisterschaft 2016,Achtelfinale,Frankreich,Lens,A,2016-06-25,Portugal,Kroatien,1:0 n.V.,MS,0,1,0,,,
2702906,Real Madrid,Europameisterschaft 2016,Viertelfinale,Frankreich,Marseille,A,2016-06-30,Portugal,Polen,6:4 n.E.,MS,0,0,0,,,
2707818,Real Madrid,Europameisterschaft 2016,Halbfinale,Frankreich,,H,2016-07-06,Portugal,Wales,2:0,MS,1,1,0,72',,
2711570,Real Madrid,Europameisterschaft 2016,Finale,Frankreich,Saint Denis,H,2016-07-10,Portugal,Frankreich,1:0 n.V.,MS,0,0,0,,,
2643495,Real Madrid,WM-Qualifikation Europa,Gruppe B,Portugal,Aveiro,H,2016-10-07,Portugal,Andorra,6:0,MS,4,0,0,,,
2643498,Real Madrid,WM-Qualifikation Europa,Gruppe B,Färöer,Tórshavn,A,2016-10-10,Portugal,Färöer,6:0,MS,1,0,0,,,
2643501,Real Madrid,WM-Qualifikation Europa,Gruppe B,Portugal,Faro,H,2016-11-13,Portugal,Lettland,4:1,LA,2,0,0,,,
2643505,Real Madrid,WM-Qualifikation Europa,Gruppe B,Portugal,Lissabon,H,2017-03-25,Portugal,Ungarn,3:0,LA,2,0,0,,,
2815159,Real Madrid,Freundschaftsspiele,,Portugal,Machico,H,2017-03-28,Portugal,Schweden,2:3,MS,1,0,0,,,
2643507,Real Madrid,WM-Qualifikation Europa,Gruppe B,Lettland,Riga,A,2017-06-09,Portugal,Lettland,3:0,HS,2,1,0,,,
2852374,Real Madrid,Confederations Cup 2017,Gruppe A,Russland,Kazan,H,2017-06-18,Portugal,Mexiko,2:2,MS,0,1,0,,,
2852377,Real Madrid,Confederations Cup 2017,Gruppe A,Russland,,A,2017-06-21,Portugal,Russland,1:0,HS,1,0,0,,,
2852382,Real Madrid,Confederations Cup 2017,Gruppe A,Russland,,A,2017-06-24,Portugal,Neuseeland,4:0,HS,1,0,0,,,
2868776,Real Madrid,Confederations Cup 2017,Halbfinale,Russland,Kazan,H,2017-06-28,Portugal,Chile,0:3 n.E.,HS,0,0,0,,,
2643509,Real Madrid,WM-Qualifikation Europa,Gruppe B,Portugal,Porto,H,2017-08-31,Portugal,Färöer,5:1,MS,3,1,0,,,
2643514,Real Madrid,WM-Qualifikation Europa,Gruppe B,Ungarn,,A,2017-09-03,Portugal,Ungarn,1:0,HS,0,1,0,90',,
2643516,Real Madrid,WM-Qualifikation Europa,Gruppe B,Andorra,Andorra la Vella,A,2017-10-07,Portugal,Andorra,2:0,HS,1,0,0,,,
2643519,Real Madrid,WM-Qualifikation Europa,Gruppe B,Portugal,Lissabon,H,2017-10-10,Portugal,Schweiz,2:0,HS,0,0,0,,,
2993150,Real Madrid,Freundschaftsspiele,,Schweiz,Zürich,H,2018-03-23,Portugal,Ägypten,2:1,HS,2,0,0,,,
2993264,Real Madrid,Freundschaftsspiele,,Schweiz,Carouge,A,2018-03-26,Portugal,Niederlande,0:3,MS,0,0,0,,,
2986123,Real Madrid,Freundschaftsspiele,,Portugal,Lissabon,H,2018-06-07,Portugal,Algerien,3:0,MS,0,1,0,,,
2977690,Real Madrid,Weltmeisterschaft 2018,Gruppe B,Russland,,H,2018-06-15,Portugal,Spanien,3:3,MS,3,0,0,,,
2977691,Real Madrid,Weltmeisterschaft 2018,Gruppe B,Russland,Moskau,H,2018-06-20,Portugal,Marokko,1:0,MS,1,0,0,,,
2977693,Real Madrid,Weltmeisterschaft 2018,Gruppe B,Russland,,A,2018-06-25,Portugal,Iran,1:1,HS,0,0,0,83',,
3057975,Real Madrid,Weltmeisterschaft 2018,Achtelfinale,Russland,,A,2018-06-30,Portugal,Uruguay,1:2,MS,0,0,0,90',,
3131183,Juventus Turin,EM-Qualifikation,Gruppe B,Portugal,Lissabon,H,2019-03-22,Portugal,Ukraine,0:0,LA,0,0,0,,,
3131695,Juventus Turin,EM-Qualifikation,Gruppe B,Portugal,Lissabon,H,2019-03-25,Portugal,Serbien,1:1,HS,0,0,0,,,
3131624,Juventus Turin,UEFA Nations League Finals,Halbfinale,Portugal,Porto,H,2019-06-05,Portugal,Schweiz,3:1,MS,3,0,0,,,
3193694,Juventus Turin,UEFA Nations League Finals,Finale,Portugal,Porto,H,2019-06-09,Portugal,Niederlande,1:0,MS,0,0,0,,,
3136918,Juventus Turin,EM-Qualifikation,Gruppe B,Serbien,Belgrad,A,2019-09-07,Portugal,Serbien,4:2,MS,1,0,0,,,
3136920,Juventus Turin,EM-Qualifikation,Gruppe B,Litauen,Vilnius,A,2019-09-10,Portugal,Litauen,5:1,MS,4,0,0,,,
3136922,Juventus Turin,EM-Qualifikation,Gruppe B,Portugal,Lissabon,H,2019-10-11,Portugal,Luxemburg,3:0,MS,1,0,0,,,
3136925,Juventus Turin,EM-Qualifikation,Gruppe B,Ukraine,Kiew,A,2019-10-14,Portugal,Ukraine,1:2,MS,1,0,0,,,
3136927,Juventus Turin,EM-Qualifikation,Gruppe B,Portugal,Faro,H,2019-11-14,Portugal,Litauen,6:0,HS,3,0,0,,,
3136929,Juventus Turin,EM-Qualifikation,Gruppe B,Luxemburg,Luxemburg,A,2019-11-17,Portugal,Luxemburg,2:0,LA,1,0,0,,,
3330698,Juventus Turin,UEFA Nations League A,Gruppe 3,Schweden,Stockholm,A,2020-09-08,Portugal,Schweden,2:0,MS,2,0,0,,,
3462421,Juventus Turin,Freundschaftsspiele,,Portugal,Lissabon,H,2020-10-07,Portugal,Spanien,0:0,LA,0,0,0,,,
3330704,Juventus Turin,UEFA Nations League A,Gruppe 3,Frankreich,Saint Denis,A,2020-10-11,Portugal,Frankreich,0:0,MS,0,0,0,,,
3486169,Juventus Turin,Freundschaftsspiele,,Portugal,Lissabon,H,2020-11-11,Portugal,Andorra,7:0,MS,1,1,0,,,
3330717,Juventus Turin,UEFA Nations League A,Gruppe 3,Portugal,Lissabon,H,2020-11-14,Portugal,Frankreich,0:1,MS,0,0,0,,,
3330731,Juventus Turin,UEFA Nations League A,Gruppe 3,Kroatien,Split,A,2020-11-17,Portugal,Kroatien,3:2,MS,0,0,0,54',,
3495170,Juventus Turin,WM-Qualifikation Europa,Gruppe A,Italien,Torino,H,2021-03-24,Portugal,Aserbaidschan,1:0,LA,0,0,0,,,
3495200,Juventus Turin,WM-Qualifikation Europa,Gruppe A,Serbien,Belgrad,A,2021-03-27,Portugal,Serbien,2:2,MS,0,0,0,90',,
3495220,Juventus Turin,WM-Qualifikation Europa,Gruppe A,Luxemburg,Luxemburg,A,2021-03-30,Portugal,Luxemburg,3:1,MS,1,0,0,,,
3579715,Juventus Turin,Freundschaftsspiele,,Spanien,Madrid,A,2021-06-04,Portugal,Spanien,0:0,MS,0,0,0,,,
3577695,Juventus Turin,Freundschaftsspiele,,Portugal,Lissabon,H,2021-06-09,Portugal,Israel,4:0,MS,1,0,0,,,
3486422,Juventus Turin,Europameisterschaft 2020,Gruppe F,Ungarn,,A,2021-06-15,Portugal,Ungarn,3:0,MS,2,0,0,,,
3287214,Juventus Turin,Europameisterschaft 2020,Gruppe F,Deutschland,München,H,2021-06-19,Portugal,Deutschland,2:4,MS,1,1,0,,,
3287222,Juventus Turin,Europameisterschaft 2020,Gruppe F,Ungarn,,H,2021-06-23,Portugal,Frankreich,2:2,MS,2,0,0,,,
3587342,Juventus Turin,Europameisterschaft 2020,Achtelfinale,Spanien,Sevilla,A,2021-06-27,Portugal,Belgien,0:1,MS,0,0,0,,,
3495246,Manchester United,WM-Qualifikation Europa,Gruppe A,Portugal,Faro,H,2021-09-01,Portugal,Irland,2:1,MS,2,0,0,90',,
3672821,Manchester United,Freundschaftsspiele,,Portugal,Faro,H,2021-10-09,Portugal,Katar,3:0,LA,1,0,0,,,
3495505,Manchester United,WM-Qualifikation Europa,Gruppe A,Portugal,Lissabon,H,2021-10-12,Portugal,Luxemburg,5:0,LA,3,0,0,,,
3495644,Manchester United,WM-Qualifikation Europa,Gruppe A,Irland,Dublin,A,2021-11-11,Portugal,Irland,0:0,LA,0,0,0,,,
3495790,Manchester United,WM-Qualifikation Europa,Gruppe A,Portugal,Lissabon,H,2021-11-14,Portugal,Serbien,1:2,MS,0,0,0,,,
3704058,Manchester United,WM-Qualifikation Playoff,Halbfinale,Portugal,Porto,H,2022-03-24,Portugal,Türkei,3:1,MS,0,0,0,,,
