player_name,game_id,saison,league,gameday,venue,team,team_table_position,opponent,opponent_table_position,result,player_position,goal_minute,goal_score,goal_type,goal_added_time,added_time
Lionel Messi,1122445,2011,Supercopa,Finale,H,FC Barcelona,,Real Madrid,,3:2,MS,88,3:2,Linksschuss,0,0
Lionel Messi,1142349,2011,UEFA Super Cup,Finale,H,FC Barcelona,,FC Porto,,2:0,MS,39,1:0,Linksschuss,0,0
Lionel Messi,1125235,2011,LaLiga,2,H,FC Barcelona,2,FC Villarreal,5,5:0,MS,51,4:0,Rechtsschuss,0,0
Lionel Messi,1125235,2011,LaLiga,2,H,FC Barcelona,2,FC Villarreal,5,5:0,MS,74,5:0,Linksschuss,0,0
Lionel Messi,1125254,2011,LaLiga,4,H,FC Barcelona,2,CA Osasuna,8,8:0,MS,5,1:0,Linksschuss,0,0
Lionel Messi,1125254,2011,LaLiga,4,H,FC Barcelona,2,CA Osasuna,8,8:0,MS,41,5:0,Linksschuss,0,0
Lionel Messi,1125254,2011,LaLiga,4,H,FC Barcelona,2,CA Osasuna,8,8:0,MS,79,8:0,Linksschuss,0,0
Lionel Messi,1125273,2011,LaLiga,6,H,FC Barcelona,2,Atlético Madrid,4,5:0,MS,26,3:0,Linksschuss,0,0
Lionel Messi,1125273,2011,LaLiga,6,H,FC Barcelona,2,Atlético Madrid,4,5:0,MS,78,4:0,Linksschuss,0,0
Lionel Messi,1125273,2011,LaLiga,6,H,FC Barcelona,2,Atlético Madrid,4,5:0,MS,90,5:0,Linksschuss,0,1
